type,matrix_size,processes,nodes,time_seconds,speedup
sequential,512,1,1,0.048196,1.00
mpi,512,2,1,0.018912,2.55
mpi,512,4,1,0.011179,4.31
mpi,512,8,1,0.009139,5.27
mpi,512,12,1,0.016709,2.88
mpi,512,18,2,0.023965,2.01
mpi,512,24,2,0.033879,1.42
mpi,512,36,3,0.058018,0.83
mpi,512,48,4,0.059658,0.81
mpi,512,72,6,0.093843,0.51
mpi,512,96,8,0.106566,0.45
mpi,512,120,10,0.279654,0.17
sequential,1024,1,1,0.104843,1.00
mpi,1024,2,1,0.037501,2.80
mpi,1024,4,1,0.023357,4.49
mpi,1024,8,1,0.013737,7.63
mpi,1024,12,1,0.011465,9.14
mpi,1024,18,2,0.026290,3.99
mpi,1024,24,2,0.043224,2.43
mpi,1024,36,3,0.056499,1.86
mpi,1024,48,4,0.059015,1.78
mpi,1024,72,6,0.091068,1.15
mpi,1024,96,8,0.113084,0.93
mpi,1024,120,10,0.127348,0.82
sequential,2048,1,1,0.210183,1.00
mpi,2048,2,1,0.081424,2.58
mpi,2048,4,1,0.042398,4.96
mpi,2048,8,1,0.024781,8.48
mpi,2048,12,1,0.018158,11.58
mpi,2048,18,2,0.029783,7.06
mpi,2048,24,2,0.037449,5.61
mpi,2048,36,3,0.057590,3.65
mpi,2048,48,4,0.066858,3.14
mpi,2048,72,6,0.084378,2.49
mpi,2048,96,8,0.107097,1.96
mpi,2048,120,10,0.133242,1.58
sequential,4096,1,1,0.425008,1.00
mpi,4096,2,1,0.152683,2.78
mpi,4096,4,1,0.081212,5.23
mpi,4096,8,1,0.050008,8.50
mpi,4096,12,1,0.033952,12.52
mpi,4096,18,2,0.044156,9.63
mpi,4096,24,2,0.044287,9.60
mpi,4096,36,3,0.054005,7.87
mpi,4096,48,4,0.062871,6.76
mpi,4096,72,6,0.184654,2.30
mpi,4096,96,8,0.113118,3.76
mpi,4096,120,10,0.132512,3.21
sequential,8192,1,1,1.058094,1.00
mpi,8192,2,1,0.328500,3.22
mpi,8192,4,1,0.154182,6.86
mpi,8192,8,1,0.100116,10.57
mpi,8192,12,1,0.062545,16.92
mpi,8192,18,2,0.097524,10.85
mpi,8192,24,2,0.061383,17.24
mpi,8192,36,3,0.196829,5.38
mpi,8192,48,4,0.082024,12.90
mpi,8192,72,6,0.134740,7.85
mpi,8192,96,8,0.102489,10.32
mpi,8192,120,10,0.121127,8.74
sequential,16384,1,1,2.710305,1.00
mpi,16384,2,1,0.887330,3.05
mpi,16384,4,1,0.351932,7.70
mpi,16384,8,1,0.181865,14.90
mpi,16384,12,1,0.118007,22.97
mpi,16384,18,2,0.102002,26.57
mpi,16384,24,2,0.097784,27.72
mpi,16384,36,3,0.092096,29.43
mpi,16384,48,4,0.084384,32.12
mpi,16384,72,6,0.105031,25.80
mpi,16384,96,8,0.110417,24.55
mpi,16384,120,10,0.269746,10.05
sequential,32768,1,1,5.441598,1.00
mpi,32768,2,1,1.759234,3.09
mpi,32768,4,1,0.949120,5.73
mpi,32768,8,1,0.601230,9.05
mpi,32768,12,1,0.561625,9.69
mpi,32768,18,2,0.209975,25.92
mpi,32768,24,2,0.183811,29.60
mpi,32768,36,3,0.124735,43.63
mpi,32768,48,4,0.127949,42.53
mpi,32768,72,6,0.129755,41.94
mpi,32768,96,8,0.131141,41.49
mpi,32768,120,10,0.155605,34.97
sequential,65536,1,1,10.893491,1.00
mpi,65536,2,1,3.551940,3.07
mpi,65536,4,1,1.903115,5.72
mpi,65536,8,1,1.194276,9.12
mpi,65536,12,1,1.169203,9.32
mpi,65536,18,2,0.722701,15.07
mpi,65536,24,2,0.588857,18.50
mpi,65536,36,3,0.248100,43.91
mpi,65536,48,4,0.197879,55.05
mpi,65536,72,6,0.205628,52.98
mpi,65536,96,8,0.168574,64.62
mpi,65536,120,10,0.163121,66.78
