type,matrix_size,processes,nodes,time_seconds,speedup
sequential,1024,1,1,0.105081,1.00
mpi,1024,2,1,0.012467,8.43
mpi,1024,4,1,0.015975,6.58
mpi,1024,8,1,0.013314,7.89
mpi,1024,12,1,0.011494,9.14
mpi,1024,18,2,0.047293,2.22
mpi,1024,24,2,0.040366,2.60
mpi,1024,36,3,0.077019,1.36
mpi,1024,48,4,0.065877,1.60
mpi,1024,72,6,0.089116,1.18
mpi,1024,96,8,0.118870,0.88
mpi,1024,120,10,0.085945,1.22
sequential,2048,1,1,0.210407,1.00
mpi,2048,2,1,0.022369,9.41
mpi,2048,4,1,0.011268,18.67
mpi,2048,8,1,0.007246,29.04
mpi,2048,12,1,0.004960,42.42
mpi,2048,18,2,0.027982,7.52
mpi,2048,24,2,0.033200,6.34
mpi,2048,36,3,0.056111,3.75
mpi,2048,48,4,0.059045,3.56
mpi,2048,72,6,0.107883,1.95
mpi,2048,96,8,0.095459,2.20
mpi,2048,120,10,0.099046,2.12
sequential,4096,1,1,0.424432,1.00
mpi,4096,2,1,0.047464,8.94
mpi,4096,4,1,0.023392,18.14
mpi,4096,8,1,0.014695,28.88
mpi,4096,12,1,0.009536,44.51
mpi,4096,18,2,0.014288,29.71
mpi,4096,24,2,0.035032,12.12
mpi,4096,36,3,0.059457,7.14
mpi,4096,48,4,0.082449,5.15
mpi,4096,72,6,0.110371,3.85
mpi,4096,96,8,0.092597,4.58
mpi,4096,120,10,0.073620,5.77
sequential,8192,1,1,1.071407,1.00
mpi,8192,2,1,0.126103,8.50
mpi,8192,4,1,0.048696,22.00
mpi,8192,8,1,0.034828,30.76
mpi,8192,12,1,0.023315,45.95
mpi,8192,18,2,0.072744,14.73
mpi,8192,24,2,0.069396,15.44
mpi,8192,36,3,0.067446,15.89
mpi,8192,48,4,0.072699,14.74
mpi,8192,72,6,0.131863,8.13
mpi,8192,96,8,0.081816,13.10
mpi,8192,120,10,0.074862,14.31
sequential,16384,1,1,2.698838,1.00
mpi,16384,2,1,0.278043,9.71
mpi,16384,4,1,0.132357,20.39
mpi,16384,8,1,0.309883,8.71
mpi,16384,12,1,0.051993,51.91
mpi,16384,18,2,0.414311,6.51
mpi,16384,24,2,0.208655,12.93
mpi,16384,36,3,0.247006,10.93
mpi,16384,48,4,0.181218,14.89
mpi,16384,72,6,0.097906,27.57
mpi,16384,96,8,0.077388,34.87
mpi,16384,120,10,0.149668,18.03
sequential,32768,1,1,5.423450,1.00
mpi,32768,2,1,0.581586,9.33
mpi,32768,4,1,0.298872,18.15
mpi,32768,8,1,0.774541,7.00
mpi,32768,12,1,0.258379,20.99
mpi,32768,18,2,0.961276,5.64
mpi,32768,24,2,0.162824,33.31
mpi,32768,36,3,0.148721,36.47
mpi,32768,48,4,0.365299,14.85
mpi,32768,72,6,0.270612,20.04
mpi,32768,96,8,0.434932,12.47
mpi,32768,120,10,0.191518,28.32
sequential,65536,1,1,10.875470,1.00
mpi,65536,2,1,1.167117,9.32
mpi,65536,4,1,0.612147,17.77
mpi,65536,8,1,0.686220,15.85
mpi,65536,12,1,0.636365,17.09
mpi,65536,18,2,2.065984,5.26
mpi,65536,24,2,0.421398,25.81
mpi,65536,36,3,1.163999,9.34
mpi,65536,48,4,0.686716,15.84
mpi,65536,72,6,0.393877,27.61
mpi,65536,96,8,0.328035,33.15
mpi,65536,120,10,0.526070,20.67
