type,test_case,processes,nodes,time_seconds,speedup
sequential,test1,1,1,0.002556,1.00
mpi,test1,2,1,0.002603,0.98
mpi,test1,6,1,0.003594,0.71
mpi,test1,10,1,0.004352,0.59
mpi,test1,30,3,0.060909,0.04
sequential,test2,1,1,212.248057,1.00
mpi,test2,2,1,128.991914,1.65
mpi,test2,4,1,67.293123,3.15
mpi,test2,8,1,45.993091,4.61
mpi,test2,16,2,41.726972,5.09
mpi,test2,20,2,28.852957,7.36
mpi,test2,32,3,22.275471,9.53
mpi,test2,40,4,21.033686,10.09
mpi,test2,50,5,16.814828,12.62
mpi,test2,64,6,13.824585,15.35
mpi,test2,80,7,13.300497,15.96
mpi,test2,100,9,10.930567,19.42
sequential,test3,1,1,69.880528,1.00
mpi,test3,2,1,40.680434,1.72
mpi,test3,4,1,22.427486,3.12
mpi,test3,8,1,13.196616,5.30
mpi,test3,16,2,12.808399,5.46
mpi,test3,32,3,11.399804,6.13
mpi,test3,64,6,13.172032,5.31
sequential,test4,1,1,85.274701,1.00
mpi,test4,2,1,61.001500,1.40
mpi,test4,4,1,45.631745,1.87
mpi,test4,10,1,36.060109,2.36
mpi,test4,20,2,34.621104,2.46
mpi,test4,50,5,35.376905,2.41
mpi,test4,100,9,37.115380,2.30
