type,test_case,processes,nodes,time_seconds,speedup
sequential,test1,1,1,0.002562,1.00
mpi,test1,2,1,0.002029,1.26
mpi,test1,6,1,0.002731,0.94
mpi,test1,10,1,0.002692,0.95
mpi,test1,30,3,0.068643,0.04
sequential,test2,1,1,212.209919,1.00
mpi,test2,2,1,70.482806,3.01
mpi,test2,4,1,36.667265,5.79
mpi,test2,8,1,21.170638,10.02
mpi,test2,16,2,18.909353,11.22
mpi,test2,20,2,13.661933,15.53
mpi,test2,32,3,13.324243,15.93
mpi,test2,40,4,14.066187,15.09
mpi,test2,50,5,10.132864,20.94
mpi,test2,64,6,9.443916,22.47
mpi,test2,80,7,9.985219,21.25
mpi,test2,100,9,7.518123,28.23
sequential,test3,1,1,69.876263,1.00
mpi,test3,2,1,29.136467,2.40
mpi,test3,4,1,16.281800,4.29
mpi,test3,8,1,9.635669,7.25
mpi,test3,16,2,6.432665,10.86
mpi,test3,32,3,6.757205,10.34
mpi,test3,64,6,7.711258,9.06
sequential,test4,1,1,85.211282,1.00
mpi,test4,2,1,43.007187,1.98
mpi,test4,4,1,29.620728,2.88
mpi,test4,10,1,20.880452,4.08
mpi,test4,20,2,22.381992,3.81
mpi,test4,50,5,29.054250,2.93
mpi,test4,100,9,30.916091,2.76
