Matrix_Size,Thread_Count,Implementation,Time_seconds,Speedup
500,0,Sequential,0.214198,1
500,1,v1,0.262976,0.81
500,1,v2,0.254686,0.84
500,1,v2_simple,0.262994,0.81
500,2,v1,0.131707,1.63
500,2,v2,0.128004,1.67
500,2,v2_simple,0.13169,1.63
500,6,v1,0.045825,4.67
500,6,v2,0.043865,4.88
500,6,v2_simple,0.045848,4.67
500,12,v1,0.039053,5.48
500,12,v2,0.032496,6.59
500,12,v2_simple,0.039893,5.37
500,24,v1,0.08117,2.64
500,24,v2,0.068668,3.12
500,24,v2_simple,0.075699,2.83
1000,0,Sequential,0.704548,1
1000,1,v1,0.899068,0.78
1000,1,v2,0.848996,0.83
1000,1,v2_simple,1.010185,0.7
1000,2,v1,0.449813,1.57
1000,2,v2,0.425579,1.66
1000,2,v2_simple,0.449571,1.57
1000,6,v1,0.16148,4.36
1000,6,v2,0.148551,4.74
1000,6,v2_simple,0.161343,4.37
1000,12,v1,0.149987,4.7
1000,12,v2,0.118492,5.95
1000,12,v2_simple,0.149972,4.7
1000,24,v1,0.281109,2.51
1000,24,v2,0.220841,3.19
1000,24,v2_simple,0.283771,2.48
1500,0,Sequential,1.581335,1
1500,1,v1,1.967959,0.8
1500,1,v2,1.842251,0.86
1500,1,v2_simple,2.229159,0.71
1500,2,v1,1.01577,1.56
1500,2,v2,0.933772,1.69
1500,2,v2_simple,1.01411,1.56
1500,6,v1,0.460191,3.44
1500,6,v2,0.433823,3.65
1500,6,v2_simple,0.460451,3.43
1500,12,v1,0.470271,3.36
1500,12,v2,0.442298,3.58
1500,12,v2_simple,0.47164,3.35
1500,24,v1,0.587178,2.69
1500,24,v2,0.493014,3.21
1500,24,v2_simple,0.592885,2.67
