Matrix_Size,Thread_Count,Implementation,Time_seconds,Speedup
500,0,Sequential,0.214228,1.00
500,1,v1,0.287813,0.74
500,1,v2,0.254567,0.84
500,1,v3,0.263030,0.81
500,2,v1,0.131707,1.63
500,2,v2,0.127524,1.68
500,2,v3,0.132450,1.62
500,3,v1,0.088557,2.42
500,3,v2,0.085970,2.49
500,3,v3,0.090571,2.37
500,6,v1,0.046157,4.64
500,6,v2,0.043929,4.88
500,6,v3,0.046929,4.56
500,12,v1,0.040311,5.31
500,12,v2,0.032721,6.55
500,12,v3,0.037369,5.73
500,24,v1,0.083881,2.55
500,24,v2,0.062100,3.45
500,24,v3,0.072025,2.97
1000,0,Sequential,0.700133,1.00
1000,1,v1,0.897525,0.78
1000,1,v2,0.848534,0.83
1000,1,v3,0.875882,0.80
1000,2,v1,0.449255,1.56
1000,2,v2,0.424581,1.65
1000,2,v3,0.439136,1.59
1000,3,v1,0.301315,2.32
1000,3,v2,0.285145,2.46
1000,3,v3,0.296625,2.36
1000,6,v1,0.162004,4.32
1000,6,v2,0.147974,4.73
1000,6,v3,0.151950,4.61
1000,12,v1,0.150022,4.67
1000,12,v2,0.118044,5.93
1000,12,v3,0.128079,5.47
1000,24,v1,0.281235,2.49
1000,24,v2,0.225993,3.10
1000,24,v3,0.229305,3.05
1500,0,Sequential,1.582853,1.00
1500,1,v1,1.962561,0.81
1500,1,v2,1.839504,0.86
1500,1,v3,1.864808,0.85
1500,2,v1,1.012720,1.56
1500,2,v2,0.932681,1.70
1500,2,v3,0.937696,1.69
1500,3,v1,0.707712,2.24
1500,3,v2,0.647090,2.45
1500,3,v3,0.630653,2.51
1500,6,v1,0.497235,3.18
1500,6,v2,0.427049,3.71
1500,6,v3,0.340991,4.64
1500,12,v1,0.462822,3.42
1500,12,v2,0.428084,3.70
1500,12,v3,0.317924,4.98
1500,24,v1,0.587988,2.69
1500,24,v2,0.488661,3.24
1500,24,v3,0.460161,3.44
2000,0,Sequential,2.751678,1.00
2000,1,v1,3.418414,0.80
2000,1,v2,3.175142,0.87
2000,1,v3,3.199376,0.86
2000,2,v1,1.796864,1.53
2000,2,v2,1.640769,1.68
2000,2,v3,1.607605,1.71
2000,3,v1,1.271138,2.16
2000,3,v2,1.159112,2.37
2000,3,v3,1.079702,2.55
2000,6,v1,0.870136,3.16
2000,6,v2,0.826240,3.33
2000,6,v3,0.591245,4.65
2000,12,v1,0.909815,3.02
2000,12,v2,0.853468,3.22
2000,12,v3,0.569751,4.83
2000,24,v1,1.048579,2.62
2000,24,v2,0.918879,2.99
2000,24,v3,0.750254,3.67
3000,0,Sequential,5.971269,1.00
3000,1,v1,7.447319,0.80
3000,1,v2,6.897700,0.87
3000,1,v3,6.929356,0.86
3000,2,v1,3.935267,1.52
3000,2,v2,3.581215,1.67
3000,2,v3,3.478740,1.72
3000,3,v1,2.815763,2.12
3000,3,v2,2.557618,2.33
3000,3,v3,2.335613,2.56
3000,6,v1,1.970071,3.03
3000,6,v2,1.855072,3.22
3000,6,v3,1.275877,4.68
3000,12,v1,2.078705,2.87
3000,12,v2,1.919730,3.11
3000,12,v3,1.234165,4.84
3000,24,v1,2.181693,2.74
3000,24,v2,2.032927,2.94
3000,24,v3,1.476283,4.04
5000,0,Sequential,16.075818,1.00
5000,1,v1,20.080134,0.80
5000,1,v2,18.480850,0.87
5000,1,v3,18.667358,0.86
5000,2,v1,10.672159,1.51
5000,2,v2,9.609048,1.67
5000,2,v3,9.354872,1.72
5000,3,v1,7.696435,2.09
5000,3,v2,6.914249,2.33
5000,3,v3,6.261727,2.57
5000,6,v1,5.481941,2.93
5000,6,v2,5.128850,3.13
5000,6,v3,3.447641,4.66
5000,12,v1,5.847176,2.75
5000,12,v2,5.361983,3.00
5000,12,v3,3.391972,4.74
5000,24,v1,6.037565,2.66
5000,24,v2,5.514947,2.91
5000,24,v3,3.628507,4.43
7500,0,Sequential,35.577723,1.00
7500,1,v1,44.542724,0.80
7500,1,v2,40.864801,0.87
7500,1,v3,41.272603,0.86
7500,2,v1,23.553151,1.51
7500,2,v2,21.105955,1.69
7500,2,v3,20.676865,1.72
7500,3,v1,16.977283,2.10
7500,3,v2,15.263577,2.33
7500,3,v3,13.853883,2.57
7500,6,v1,12.319151,2.89
7500,6,v2,11.504593,3.09
7500,6,v3,7.604376,4.68
7500,12,v1,13.215149,2.69
7500,12,v2,12.071055,2.95
7500,12,v3,7.645707,4.65
7500,24,v1,13.644627,2.61
7500,24,v2,12.512516,2.84
7500,24,v3,8.109946,4.39
10000,0,Sequential,62.916159,1.00
10000,1,v1,78.646579,0.80
10000,1,v2,72.057981,0.87
10000,1,v3,72.863786,0.86
10000,2,v1,41.617643,1.51
10000,2,v2,37.226146,1.69
10000,2,v3,36.501436,1.72
10000,3,v1,30.034679,2.09
10000,3,v2,26.936051,2.34
10000,3,v3,24.429676,2.58
10000,6,v1,21.997798,2.86
10000,6,v2,20.522363,3.07
10000,6,v3,13.530988,4.65
10000,12,v1,23.807473,2.64
10000,12,v2,21.707792,2.90
10000,12,v3,13.701218,4.59
10000,24,v1,24.461513,2.57
10000,24,v2,22.215880,2.83
10000,24,v3,14.500911,4.34
