TestFile,Version,NumThreads,BaselineTime_s,ParallelTime_s,Speedup_x,Efficiency_pc
test_files/test1,Sequential,1,0.001269,0.001269,1.0000,100.00
test_files/test1,OMP_Improved,6,0.001269,0.008995,.1410,2.00
test_files/test1,OMP_Improved,12,0.001269,0.012986,.0977,0
test_files/test1,OMP_Improved,24,0.001269,0.018515,.0685,0
test_files/test2,Sequential,1,108.623917,108.623917,1.0000,100.00
test_files/test2,OMP_Improved,6,108.623917,53.260108,2.0394,33.00
test_files/test2,OMP_Improved,12,108.623917,35.762344,3.0373,25.00
test_files/test2,OMP_Improved,24,108.623917,33.966990,3.1979,13.00
test_files/test3,Sequential,1,35.975780,35.975780,1.0000,100.00
test_files/test3,OMP_Improved,6,35.975780,20.202358,1.7807,29.00
test_files/test3,OMP_Improved,12,35.975780,12.137762,2.9639,24.00
test_files/test3,OMP_Improved,24,35.975780,11.438554,3.1451,13.00
test_files/test4,Sequential,1,47.580535,47.580535,1.0000,100.00
test_files/test4,OMP_Improved,6,47.580535,22.238183,2.1395,35.00
test_files/test4,OMP_Improved,12,47.580535,13.587202,3.5018,29.00
test_files/test4,OMP_Improved,24,47.580535,10.853656,4.3838,18.00

